constructorId,points,position,positionText,wins
red_bull,171.0,2,2,3
ferrari,146.0,3,3,1
mercedes,100.0,4,4,0
renault,73.0,5,5,0
force_india,32.0,6,6,0
williams,8.0,7,7,0
toro_rosso,4.0,8,8,0
sauber,1.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,215.0,1,1,4
red_bull,193.0,2,2,3
ferrari,161.0,3,3,1
mercedes,108.0,4,4,0
renault,79.0,5,5,0
force_india,35.0,6,6,0
toro_rosso,8.0,7,7,0
williams,8.0,8,8,0
sauber,1.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,248.0,1,1,4
red_bull,218.0,2,2,4
ferrari,165.0,3,3,1
mercedes,109.0,4,4,0
renault,89.0,5,5,0
force_india,43.0,6,6,0
williams,20.0,7,7,0
toro_rosso,10.0,8,8,0
sauber,7.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,278.0,1,1,4
red_bull,249.0,2,2,5
ferrari,165.0,3,3,1
mercedes,126.0,4,4,0
renault,89.0,5,5,0
force_india,47.0,6,6,0
williams,31.0,7,7,0
sauber,15.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,300.0,1,1,4
red_bull,272.0,2,2,5
ferrari,208.0,3,3,2
mercedes,132.0,4,4,0
renault,96.0,5,5,0
force_india,47.0,6,6,0
williams,31.0,7,7,0
sauber,15.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,312.0,1,1,6
mclaren,304.0,2,2,4
ferrari,238.0,3,3,2
mercedes,132.0,4,4,0
renault,106.0,5,5,0
force_india,47.0,6,6,0
williams,40.0,7,7,0
sauber,23.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,330.0,1,1,6
mclaren,329.0,2,2,5
ferrari,250.0,3,3,2
mercedes,146.0,4,4,0
renault,123.0,5,5,0
force_india,58.0,6,6,0
williams,40.0,7,7,0
sauber,27.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,350.0,1,1,6
mclaren,347.0,2,2,5
ferrari,290.0,3,3,3
mercedes,158.0,4,4,0
renault,127.0,5,5,0
force_india,58.0,6,6,0
williams,47.0,7,7,0
sauber,27.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,383.0,1,1,6
mclaren,359.0,2,2,5
ferrari,319.0,3,3,4
mercedes,168.0,4,4,0
renault,133.0,5,5,0
force_india,60.0,6,6,0
williams,56.0,7,7,0
sauber,27.0,8,8,0
toro_rosso,10.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,426.0,1,1,7
mclaren,381.0,2,2,5
ferrari,334.0,3,3,4
mercedes,176.0,4,4,0
renault,133.0,5,5,0
force_india,60.0,6,6,0
williams,58.0,7,7,0
sauber,37.0,8,8,0
toro_rosso,11.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,426.0,1,1,7
mclaren,399.0,2,2,5
ferrari,374.0,3,3,5
mercedes,188.0,4,4,0
renault,143.0,5,5,0
force_india,68.0,6,6,0
williams,65.0,7,7,0
sauber,43.0,8,8,0
toro_rosso,11.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,469.0,1,1,8
mclaren,421.0,2,2,5
ferrari,389.0,3,3,5
mercedes,202.0,4,4,0
renault,145.0,5,5,0
williams,69.0,6,6,0
force_india,68.0,7,7,0
sauber,44.0,8,8,0
toro_rosso,11.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,498.0,1,1,9
mclaren,454.0,2,2,5
ferrari,396.0,3,3,5
mercedes,214.0,4,4,0
renault,163.0,5,5,0
williams,69.0,6,6,0
force_india,68.0,7,7,0
sauber,44.0,8,8,0
toro_rosso,13.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,35.0,1,1,1
mclaren,26.0,2,2,0
ferrari,18.0,3,3,0
renault,15.0,4,4,0
toro_rosso,4.0,5,5,0
force_india,3.0,6,6,0
lotus_racing,0.0,7,7,0
virgin,0.0,8,8,0
williams,0.0,9,9,0
mercedes,0.0,10,10,0
red_bull,72.0,1,1,2
mclaren,48.0,2,2,0
ferrari,36.0,3,3,0
renault,30.0,4,4,0
sauber,6.0,5,5,0
toro_rosso,4.0,6,6,0
force_india,4.0,7,7,0
mercedes,2.0,8,8,0
lotus_racing,0.0,9,9,0
virgin,0.0,10,10,0
williams,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,105.0,1,1,2
mclaren,85.0,2,2,1
ferrari,50.0,3,3,0
renault,32.0,4,4,0
mercedes,16.0,5,5,0
sauber,7.0,6,6,0
toro_rosso,4.0,7,7,0
force_india,4.0,8,8,0
lotus_racing,0.0,9,9,0
williams,0.0,10,10,0
virgin,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,148.0,1,1,3
mclaren,105.0,2,2,1
ferrari,65.0,3,3,0
renault,42.0,4,4,0
mercedes,26.0,5,5,0
sauber,8.0,6,6,0
toro_rosso,6.0,7,7,0
force_india,4.0,8,8,0
lotus_racing,0.0,9,9,0
williams,0.0,10,10,0
virgin,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,185.0,1,1,4
mclaren,138.0,2,2,1
ferrari,75.0,3,3,0
renault,46.0,4,4,0
mercedes,40.0,5,5,0
sauber,11.0,6,6,0
toro_rosso,6.0,7,7,0
force_india,4.0,8,8,0
williams,0.0,9,9,0
lotus_racing,0.0,10,10,0
virgin,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,222.0,1,1,5
mclaren,161.0,2,2,1
ferrari,93.0,3,3,0
renault,50.0,4,4,0
mercedes,40.0,5,5,0
sauber,21.0,6,6,0
force_india,10.0,7,7,0
toro_rosso,7.0,8,8,0
williams,2.0,9,9,0
lotus_racing,0.0,10,10,0
virgin,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,255.0,1,1,5
mclaren,186.0,2,2,2
ferrari,101.0,3,3,0
renault,60.0,4,4,0
mercedes,52.0,5,5,0
sauber,27.0,6,6,0
toro_rosso,12.0,7,7,0
force_india,10.0,8,8,0
williams,4.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,295.0,1,1,6
mclaren,206.0,2,2,2
ferrari,129.0,3,3,0
renault,61.0,4,4,0
mercedes,58.0,5,5,0
sauber,27.0,6,6,0
toro_rosso,16.0,7,7,0
force_india,12.0,8,8,0
williams,4.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,328.0,1,1,6
mclaren,218.0,2,2,2
ferrari,164.0,3,3,1
mercedes,68.0,4,4,0
renault,65.0,5,5,0
sauber,33.0,6,6,0
toro_rosso,17.0,7,7,0
force_india,12.0,8,8,0
williams,4.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,355.0,1,1,6
mclaren,243.0,2,2,3
ferrari,192.0,3,3,1
mercedes,78.0,4,4,0
renault,66.0,5,5,0
sauber,35.0,6,6,0
force_india,20.0,7,7,0
toro_rosso,17.0,8,8,0
williams,4.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,383.0,1,1,6
mclaren,280.0,2,2,4
ferrari,215.0,3,3,1
mercedes,80.0,4,4,0
renault,66.0,5,5,0
sauber,35.0,6,6,0
force_india,26.0,7,7,0
toro_rosso,22.0,8,8,0
williams,4.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,426.0,1,1,7
mclaren,295.0,2,2,4
ferrari,231.0,3,3,1
mercedes,98.0,4,4,0
renault,68.0,5,5,0
sauber,35.0,6,6,0
force_india,32.0,7,7,0
toro_rosso,22.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,451.0,1,1,8
mclaren,325.0,2,2,4
ferrari,254.0,3,3,1
mercedes,108.0,4,4,0
renault,70.0,5,5,0
force_india,36.0,6,6,0
sauber,35.0,7,7,0
toro_rosso,29.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,491.0,1,1,9
mclaren,353.0,2,2,4
ferrari,268.0,3,3,1
mercedes,114.0,4,4,0
renault,70.0,5,5,0
force_india,48.0,6,6,0
sauber,36.0,7,7,0
toro_rosso,29.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,518.0,1,1,9
mclaren,388.0,2,2,5
ferrari,292.0,3,3,1
mercedes,123.0,4,4,0
renault,72.0,5,5,0
force_india,48.0,6,6,0
sauber,40.0,7,7,0
toro_rosso,29.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,558.0,1,1,10
mclaren,418.0,2,2,5
ferrari,310.0,3,3,1
mercedes,127.0,4,4,0
renault,72.0,5,5,0
force_india,49.0,6,6,0
sauber,40.0,7,7,0
toro_rosso,37.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,595.0,1,1,11
mclaren,442.0,2,2,5
ferrari,325.0,3,3,1
mercedes,145.0,4,4,0
renault,72.0,5,5,0
force_india,51.0,6,6,0
sauber,41.0,7,7,0
toro_rosso,41.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,607.0,1,1,11
mclaren,482.0,2,2,6
ferrari,353.0,3,3,1
mercedes,159.0,4,4,0
renault,72.0,5,5,0
force_india,57.0,6,6,0
sauber,42.0,7,7,0
toro_rosso,41.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,650.0,1,1,12
mclaren,497.0,2,2,6
ferrari,375.0,3,3,1
mercedes,165.0,4,4,0
renault,73.0,5,5,0
force_india,69.0,6,6,0
sauber,44.0,7,7,0
toro_rosso,41.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,40.0,1,1,1
red_bull,30.0,2,2,0
sauber,12.0,3,3,0
ferrari,10.0,4,4,0
lotus_f1,6.0,5,5,0
toro_rosso,2.0,6,6,0
force_india,1.0,7,7,0
mercedes,0.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mclaren,55.0,1,1,1
red_bull,42.0,2,2,0
ferrari,35.0,3,3,1
sauber,30.0,4,4,0
lotus_f1,16.0,5,5,0
force_india,9.0,6,6,0
williams,8.0,7,7,0
toro_rosso,6.0,8,8,0
mercedes,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
mclaren,88.0,1,1,1
red_bull,64.0,2,2,0
ferrari,37.0,3,3,1
sauber,31.0,4,4,0
mercedes,26.0,5,5,1
lotus_f1,24.0,6,6,0
williams,18.0,7,7,0
force_india,9.0,8,8,0
toro_rosso,6.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,101.0,1,1,1
mclaren,92.0,2,2,1
lotus_f1,57.0,3,3,0
ferrari,45.0,4,4,1
mercedes,37.0,5,5,1
sauber,31.0,6,6,0
williams,18.0,7,7,0
force_india,17.0,8,8,0
toro_rosso,6.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,109.0,1,1,1
mclaren,98.0,2,2,1
lotus_f1,84.0,3,3,0
ferrari,63.0,4,4,1
mercedes,43.0,5,5,1
williams,43.0,6,6,1
sauber,41.0,7,7,0
force_india,18.0,8,8,0
toro_rosso,6.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,146.0,1,1,2
mclaren,108.0,2,2,1
ferrari,86.0,3,3,1
lotus_f1,86.0,4,4,0
mercedes,61.0,5,5,1
williams,44.0,6,6,1
sauber,41.0,7,7,0
force_india,28.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,164.0,1,1,2
mclaren,133.0,2,2,2
lotus_f1,108.0,3,3,0
ferrari,97.0,4,4,1
mercedes,69.0,5,5,1
sauber,58.0,6,6,0
williams,44.0,7,7,1
force_india,28.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,176.0,1,1,2
mclaren,137.0,2,2,2
lotus_f1,126.0,3,3,0
ferrari,122.0,4,4,2
mercedes,92.0,5,5,1
sauber,60.0,6,6,0
williams,45.0,7,7,1
force_india,44.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,216.0,1,1,3
ferrari,152.0,2,2,2
lotus_f1,144.0,3,3,0
mclaren,142.0,4,4,2
mercedes,98.0,5,5,1
sauber,60.0,6,6,0
williams,47.0,7,7,1
force_india,44.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,230.0,1,1,3
ferrari,177.0,2,2,3
mclaren,160.0,3,3,2
lotus_f1,159.0,4,4,0
mercedes,105.0,5,5,1
sauber,80.0,6,6,0
williams,47.0,7,7,1
force_india,46.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,246.0,1,1,3
mclaren,193.0,2,2,3
lotus_f1,192.0,3,3,0
ferrari,189.0,4,4,3
mercedes,106.0,5,5,1
sauber,80.0,6,6,0
williams,53.0,7,7,1
force_india,46.0,8,8,0
toro_rosso,6.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,272.0,1,1,3
mclaren,218.0,2,2,4
lotus_f1,207.0,3,3,0
ferrari,199.0,4,4,3
mercedes,112.0,5,5,1
sauber,80.0,6,6,0
force_india,59.0,7,7,0
williams,53.0,8,8,1
toro_rosso,12.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,272.0,1,1,3
mclaren,243.0,2,2,5
ferrari,226.0,3,3,3
lotus_f1,217.0,4,4,0
mercedes,126.0,5,5,1
sauber,100.0,6,6,0
force_india,63.0,7,7,0
williams,54.0,8,8,1
toro_rosso,12.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,297.0,1,1,4
mclaren,261.0,2,2,5
ferrari,245.0,3,3,3
lotus_f1,231.0,4,4,0
mercedes,136.0,5,5,1
sauber,101.0,6,6,0
force_india,75.0,7,7,0
williams,54.0,8,8,1
toro_rosso,14.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,324.0,1,1,5
mclaren,283.0,2,2,5
ferrari,263.0,3,3,3
lotus_f1,239.0,4,4,0
mercedes,136.0,5,5,1
sauber,116.0,6,6,0
force_india,81.0,7,7,0
williams,58.0,8,8,1
toro_rosso,15.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,367.0,1,1,6
ferrari,290.0,2,2,3
mclaren,284.0,3,3,5
lotus_f1,255.0,4,4,0
mercedes,136.0,5,5,1
sauber,116.0,6,6,0
force_india,89.0,7,7,0
williams,58.0,8,8,1
toro_rosso,21.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,407.0,1,1,7
ferrari,316.0,2,2,3
mclaren,306.0,3,3,5
lotus_f1,263.0,4,4,0
mercedes,136.0,5,5,1
sauber,116.0,6,6,0
force_india,93.0,7,7,0
williams,59.0,8,8,1
toro_rosso,21.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,422.0,1,1,7
ferrari,340.0,2,2,3
mclaren,318.0,3,3,5
lotus_f1,288.0,4,4,1
mercedes,136.0,5,5,1
sauber,124.0,6,6,0
force_india,95.0,7,7,0
williams,73.0,8,8,1
toro_rosso,22.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,440.0,1,1,7
ferrari,367.0,2,2,3
mclaren,353.0,3,3,6
lotus_f1,302.0,4,4,1
mercedes,136.0,5,5,1
sauber,124.0,6,6,0
force_india,99.0,7,7,0
williams,76.0,8,8,1
toro_rosso,22.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,460.0,1,1,7
ferrari,400.0,2,2,3
mclaren,378.0,3,3,7
lotus_f1,303.0,4,4,1
mercedes,142.0,5,5,1
sauber,126.0,6,6,0
force_india,109.0,7,7,0
williams,76.0,8,8,1
toro_rosso,26.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
ferrari,30.0,1,1,0
lotus_f1,26.0,2,2,1
red_bull,23.0,3,3,0
mercedes,10.0,4,4,0
force_india,10.0,5,5,0
mclaren,2.0,6,6,0
toro_rosso,0.0,7,7,0
sauber,0.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,66.0,1,1,1
lotus_f1,40.0,2,2,1
ferrari,40.0,3,3,0
mercedes,37.0,4,4,0
force_india,10.0,5,5,0
sauber,4.0,6,6,0
mclaren,4.0,7,7,0
toro_rosso,1.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,78.0,1,1,1
ferrari,73.0,2,2,1
lotus_f1,60.0,3,3,1
mercedes,52.0,4,4,0
mclaren,14.0,5,5,0
force_india,14.0,6,6,0
toro_rosso,7.0,7,7,0
sauber,5.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,109.0,1,1,2
lotus_f1,93.0,2,2,1
ferrari,77.0,3,3,1
mercedes,64.0,4,4,0
force_india,26.0,5,5,0
mclaren,23.0,6,6,0
toro_rosso,7.0,7,7,0
sauber,5.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,131.0,1,1,2
ferrari,117.0,2,2,2
lotus_f1,111.0,3,3,1
mercedes,72.0,4,4,0
force_india,32.0,5,5,0
mclaren,29.0,6,6,0
toro_rosso,8.0,7,7,0
sauber,5.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,164.0,1,1,2
ferrari,123.0,2,2,2
lotus_f1,112.0,3,3,1
mercedes,109.0,4,4,1
force_india,44.0,5,5,0
mclaren,37.0,6,6,0
toro_rosso,12.0,7,7,0
sauber,5.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,201.0,1,1,3
ferrari,145.0,2,2,2
mercedes,134.0,3,3,1
lotus_f1,114.0,4,4,1
force_india,51.0,5,5,0
mclaren,37.0,6,6,0
toro_rosso,20.0,7,7,0
sauber,5.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,219.0,1,1,3
mercedes,171.0,2,2,2
ferrari,168.0,3,3,2
lotus_f1,124.0,4,4,1
force_india,59.0,5,5,0
mclaren,37.0,6,6,0
toro_rosso,24.0,7,7,0
sauber,6.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,250.0,1,1,4
mercedes,183.0,2,2,2
ferrari,180.0,3,3,2
lotus_f1,157.0,4,4,1
force_india,59.0,5,5,0
mclaren,49.0,6,6,0
toro_rosso,24.0,7,7,0
sauber,7.0,8,8,0
williams,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,277.0,1,1,4
mercedes,208.0,2,2,3
ferrari,194.0,3,3,2
lotus_f1,183.0,4,4,1
force_india,59.0,5,5,0
mclaren,57.0,6,6,0
toro_rosso,24.0,7,7,0
sauber,7.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,312.0,1,1,5
mercedes,235.0,2,2,3
ferrari,218.0,3,3,2
lotus_f1,187.0,4,4,1
mclaren,65.0,5,5,0
force_india,61.0,6,6,0
toro_rosso,25.0,7,7,0
sauber,7.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,352.0,1,1,6
ferrari,248.0,2,2,2
mercedes,245.0,3,3,3
lotus_f1,191.0,4,4,1
mclaren,66.0,5,5,0
force_india,61.0,6,6,0
toro_rosso,31.0,7,7,0
sauber,17.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,377.0,1,1,7
ferrari,274.0,2,2,2
mercedes,267.0,3,3,3
lotus_f1,206.0,4,4,1
mclaren,76.0,5,5,0
force_india,62.0,6,6,0
toro_rosso,31.0,7,7,0
sauber,19.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,402.0,1,1,8
ferrari,284.0,2,2,2
mercedes,283.0,3,3,3
lotus_f1,239.0,4,4,1
mclaren,81.0,5,5,0
force_india,62.0,6,6,0
sauber,31.0,7,7,0
toro_rosso,31.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,445.0,1,1,9
ferrari,297.0,2,2,2
mercedes,287.0,3,3,3
lotus_f1,264.0,4,4,1
mclaren,83.0,5,5,0
force_india,62.0,6,6,0
sauber,45.0,7,7,0
toro_rosso,31.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,470.0,1,1,10
mercedes,313.0,2,2,3
ferrari,309.0,3,3,2
lotus_f1,285.0,4,4,1
mclaren,93.0,5,5,0
force_india,68.0,6,6,0
sauber,45.0,7,7,0
toro_rosso,32.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,513.0,1,1,11
mercedes,334.0,2,2,3
ferrari,323.0,3,3,2
lotus_f1,297.0,4,4,1
mclaren,95.0,5,5,0
force_india,77.0,6,6,0
sauber,45.0,7,7,0
toro_rosso,32.0,8,8,0
williams,1.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,553.0,1,1,12
mercedes,348.0,2,2,3
ferrari,333.0,3,3,2
lotus_f1,315.0,4,4,1
mclaren,102.0,5,5,0
force_india,77.0,6,6,0
sauber,53.0,7,7,0
toro_rosso,32.0,8,8,0
williams,5.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
red_bull,596.0,1,1,13
mercedes,360.0,2,2,3
ferrari,354.0,3,3,2
lotus_f1,315.0,4,4,1
mclaren,122.0,5,5,0
force_india,77.0,6,6,0
sauber,57.0,7,7,0
toro_rosso,33.0,8,8,0
williams,5.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mclaren,33.0,1,1,0
mercedes,25.0,2,2,1
ferrari,18.0,3,3,0
williams,10.0,4,4,0
force_india,9.0,5,5,0
toro_rosso,6.0,6,6,0
sauber,0.0,7,7,0
marussia,0.0,8,8,0
lotus_f1,0.0,9,9,0
caterham,0.0,10,10,0
red_bull,0.0,11,11,0
mercedes,68.0,1,1,2
mclaren,43.0,2,2,0
ferrari,30.0,3,3,0
williams,20.0,4,4,0
force_india,19.0,5,5,0
red_bull,15.0,6,6,0
toro_rosso,7.0,7,7,0
sauber,0.0,8,8,0
lotus_f1,0.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
mercedes,111.0,1,1,3
force_india,44.0,2,2,0
mclaren,43.0,3,3,0
red_bull,35.0,4,4,0
ferrari,33.0,5,5,0
williams,30.0,6,6,0
toro_rosso,7.0,7,7,0
lotus_f1,0.0,8,8,0
sauber,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,154.0,1,1,4
red_bull,57.0,2,2,0
force_india,54.0,3,3,0
ferrari,52.0,4,4,0
mclaren,43.0,5,5,0
williams,36.0,6,6,0
toro_rosso,8.0,7,7,0
lotus_f1,0.0,8,8,0
sauber,0.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,197.0,1,1,5
red_bull,84.0,2,2,0
